name,calories,protein,totalCarbohydrates,sugars,dietaryFibers,totalFat,saturatedFat,monoUnsaturatedFat,polyUnsaturatedFat,cholestrol,vitaminA,vitaminC,vitaminD,calcium,iron,potassium,sodium
"Frozen yogurt, soft serve, vanilla",159,4,24.2,24,0,5.6,3.42,1.59,0.21,2,59,0.8,0.1,143,0.3,211,87
"Frozen yogurt, soft serve, chocolate",160,4.31,24.87,23.56,0.7,5.76,3.513,1.65,0.215,2,58,0.8,0.1,143,0.57,237,86
Frozen yogurt sandwich,204,3.9,34.38,24.3,0.8,6.25,2.805,1.956,1.113,10,38,0.5,0.1,83,1.35,170,192
"Frozen yogurt bar, vanilla",127,3,21.6,19.92,0,3.6,2.326,0.986,0.1,13,49,0.7,0.1,100,0.46,156,63
"Frozen yogurt bar, chocolate",131,3,21.6,19.24,2.3,3.6,2.272,0.961,0.102,13,39,0,0.1,100,0.46,234,63
"Frozen yogurt cone, chocolate",142,3.2,23.9,18.71,2.3,3.73,2.23,0.996,0.228,12,37,0,0.1,97,0.59,229,71
"Frozen yogurt cone, vanilla",139,3.2,23.9,19.36,0.1,3.73,2.282,1.02,0.227,12,47,0.7,0.1,97,0.59,154,71
"Frozen yogurt cone, vanilla, waffle cone",143,3.29,25.28,20.26,0.1,3.61,2.223,1.014,0.18,12,46,0.7,0.1,97,0.69,155,77
"Frozen yogurt cone, chocolate, waffle cone",147,3.29,25.28,19.62,2.3,3.61,2.172,0.991,0.181,12,37,0,0.1,97,0.69,229,77
"Yogurt, whole milk, baby food",61,3.47,4.66,4.66,0,3.25,2.096,0.893,0.092,13,27,0.5,1.2,121,0.05,155,46
"Yogurt, whole milk, baby food, with fruit and multigrain cereal puree, NFS",98,3.4,13.22,11.46,0.3,3.53,1.84,0.916,0.367,14,24,1.4,0.1,107,0.15,149,41
"Yogurt, whole milk, baby food, with fruit and multigrain cereal puree, plus iron",92,3.05,13,11.46,0.6,3.08,1.582,0.74,0.405,10,22,3.6,0,98,4.18,143,38
"Yogurt, whole milk, baby food, with fruit and multigrain cereal puree, plus DHA",98,3.4,13.22,11.46,0.3,3.53,1.84,0.916,0.367,14,24,1.4,0.1,107,0.15,149,41
"Chocolate milk, NFS",67,3.39,13.46,8.39,0,0,0,0,0,2,64,1,1.1,127,0.27,182,79
"Chocolate milk, ready to drink, whole",83,3.17,10.34,9.54,0.8,3.39,2.104,0.99,0.124,12,27,0.9,1.3,112,0.24,167,60
"Chocolate milk, ready to drink, reduced fat",76,2.99,12.13,9.55,0.7,1.9,1.177,0.455,0.089,8,64,0,1.2,109,0.24,169,66
"Chocolate milk, ready to drink, fat free",67,3.39,13.46,8.39,0,0,0,0,0,2,64,1,1.1,127,0.27,182,79
"Chocolate milk, ready to drink, low fat",64,3.46,10.15,9.94,0.1,1.11,0.616,0.3,0.049,5,52,0.4,1.1,129,0.23,172,65
"Chocolate milk, ready to drink, reduced sugar, NS as to milk",57,3.43,7.68,7.29,0,1.04,0.616,0.29,0.054,5,96,0,1.5,122,0.16,168,66
"Chocolate milk, ready to drink, low fat (Nesquik)",64,3.46,10.15,9.94,0.1,1.11,0.616,0.3,0.049,5,52,0.4,1.1,129,0.23,172,65
"Chocolate milk, ready to drink, fat free (Nesquik)",67,3.39,13.46,8.39,0,0,0,0,0,2,64,1,1.1,127,0.27,182,79
"Chocolate milk, ready to drink, low fat, no sugar added (Nesquik)",64,3.46,10.15,9.94,0.1,1.11,0.616,0.3,0.049,5,52,0.4,1.1,129,0.23,172,65
"Hot chocolate / Cocoa, ready to drink",91,2.72,16.54,15.18,0,1.54,0.903,0.325,0.047,7,68,0.2,0.9,102,0,152,60
"Hot chocolate / Cocoa, ready to drink, made with nonfat milk",78,2.79,16.52,15.31,0,0.06,0.04,0.014,0.005,2,52,0,0.9,107,0,159,61
"Hot chocolate / Cocoa, ready to drink, made with non-dairy milk",80,1.21,16.68,14.62,0.2,0.98,0.115,0.386,0.442,0,58,0,0.8,122,0.28,99,75
"Hot chocolate / Cocoa, ready to drink, with whipped cream",103,2.73,15.89,14.6,0,3.18,1.952,0.742,0.119,12,84,0.2,0.9,101,0,149,58
"Hot chocolate / Cocoa, ready to drink, made with nonfat milk and whipped cream",90,2.79,15.87,14.72,0,1.77,1.13,0.445,0.079,8,69,0,0.9,105,0,156,60
"Hot chocolate / Cocoa, ready to drink, made with non-dairy milk and whipped cream",92,1.29,16.02,14.07,0.2,2.64,1.202,0.799,0.496,5,74,0,0.9,119,0.27,98,73
"Chocolate milk, made from dry mix, NS as to type of milk",72,3.41,10.13,9.63,0.3,2.01,1.232,0.4,0.061,8,55,1.7,1,146,0,164,45
